Potential (V)	 Current (A)	 Elapsed Time (s)
0.10005526	 0.00012207031	 0
0.097756721	 0	 0.11500013
0.09545818	 -1.0620117e-006	 0.23000026
0.093159638	 -1.1468506e-006	 0.34499976
0.090861097	 -1.239624e-006	 0.45999989
0.088545009	 -1.3085938e-006	 0.57500002
0.086246468	 -1.3531494e-006	 0.69000016
0.083947927	 -1.4105225e-006	 0.80500029
0.081649385	 -1.4648438e-006	 0.91999979
0.079350844	 -1.5045166e-006	 1.0349999
0.077052303	 -1.5405273e-006	 1.15
0.074753761	 -1.583252e-006	 1.2650002
0.07245522	 -1.6387939e-006	 1.3800003
0.070156679	 -1.6851807e-006	 1.4949998
0.067858137	 -1.7358398e-006	 1.6099999
0.065559596	 -1.7987061e-006	 1.7250001
0.063261054	 -1.8432617e-006	 1.8400002
0.060962513	 -1.9165039e-006	 1.9549997
0.058663972	 -1.986084e-006	 2.0699998
0.05636543	 -2.0483398e-006	 2.185
0.054049343	 -2.1124268e-006	 2.3000001
0.051750802	 -2.1734619e-006	 2.4150002
0.050662942	 -1.5667725e-006	 2.5299997
0.05297903	 -5.3833008e-007	 2.6449999
0.055277571	 -2.5762939e-007	 2.76
0.057576112	 -1.2646484e-007	 2.8750001
0.059874654	 -2.1484375e-008	 2.9900003
0.062173195	 4.8675537e-008	 3.1049998
0.064471737	 1.0176392e-007	 3.2199999
0.066770278	 1.4694824e-007	 3.335
0.071367361	 3.2733154e-007	 3.5650003
0.073665902	 3.1640625e-007	 3.6799998
0.075964443	 3.4484863e-007	 3.7949999
0.078262985	 3.739624e-007	 3.91
0.080561526	 3.9624023e-007	 4.0250002
0.082860067	 4.1436768e-007	 4.1400003
0.085158609	 4.4329834e-007	 4.2549998
0.087474696	 4.5733643e-007	 4.3699999
0.089773238	 4.6844482e-007	 4.4850001
0.092071779	 4.9139404e-007	 4.6000002
0.09437032	 5.1733398e-007	 4.7149997
0.096668862	 5.3692627e-007	 4.8299998
0.098967403	 5.4315186e-007	 4.945
0.10126594	 5.5773926e-007	 5.0600001
0.10356449	 5.6542969e-007	 5.1750002
0.10586303	 5.737915e-007	 5.2899997
0.10816157	 5.9326172e-007	 5.4049999
0.11046011	 5.8831787e-007	 5.52
0.11275865	 5.9051514e-007	 5.6350001
0.11505719	 6.027832e-007	 5.7500002
0.11735573	 6.1804199e-007	 5.8649997
0.11967182	 6.428833e-007	 5.9799999
0.12197036	 6.4953613e-007	 6.095
0.1242689	 6.5869141e-007	 6.2100001
0.12656745	 6.6601562e-007	 6.3250003
0.12886599	 6.7218018e-007	 6.4399998
0.13116453	 6.8572998e-007	 6.5549999
0.13346307	 6.8847656e-007	 6.67
0.13576161	 6.8267822e-007	 6.7850002
0.13806015	 6.9488525e-007	 6.9000003
