Potential (V)	 Current (A)	 Elapsed Time (s)
0.10005526	 0.00012207031	 0
0.096563585	 -7.9345703e-006	 0.069796946
0.093071908	 -1.1126709e-005	 0.13959389
0.08958023	 -1.2335205e-005	 0.20939084
0.086088553	 -1.2493896e-005	 0.27918778
0.082596876	 -1.3208008e-005	 0.34898473
0.079105198	 -1.4056396e-005	 0.4187823
0.075631067	 -1.4831543e-005	 0.48857925
0.07213939	 -1.6320801e-005	 0.5583762
0.068647712	 -1.7053223e-005	 0.62817314
0.065156035	 -1.8206787e-005	 0.69797009
0.061664358	 -1.9647217e-005	 0.76776703
0.05817268	 -2.1405029e-005	 0.83756398
0.054681003	 -2.4053955e-005	 0.90736093
0.051189326	 -2.6513672e-005	 0.97715787
0.052400008	 -9.4970703e-006	 1.0469548
0.055891685	 -3.4399414e-006	 1.1167518
0.059383363	 5.3710938e-008	 1.1865487
0.069840848	 5.9509277e-006	 1.3959402
0.073332526	 6.9207764e-006	 1.4657371
0.076824203	 7.689209e-006	 1.5355341
0.08031588	 8.3789063e-006	 1.605331
0.083807558	 8.5119629e-006	 1.675128
0.087299235	 9.4506836e-006	 1.7449249
0.090790913	 9.9072266e-006	 1.8147219
0.09428259	 1.0368652e-005	 1.8845188
0.097756721	 1.0545654e-005	 1.9543157
0.1012484	 1.0343628e-005	 2.0241127
0.10474008	 1.0709229e-005	 2.0939103
0.10823175	 1.1287842e-005	 2.1637072
0.11172343	 1.1575317e-005	 2.2335042
0.11521511	 1.1760864e-005	 2.3033011
0.11870679	 1.1507568e-005	 2.373098
0.12219846	 1.1369629e-005	 2.442895
0.12569014	 1.2200317e-005	 2.5126919
0.12916427	 1.2139282e-005	 2.5824889
0.13265595	 1.2164917e-005	 2.6522858
0.13614763	 1.2171631e-005	 2.7220828
0.1396393	 1.1779785e-005	 2.7918797
0.14313098	 1.2374268e-005	 2.8616773
0.14662266	 1.2454834e-005	 2.9314742
0.15011434	 1.2478638e-005	 3.0012712
0.15360601	 1.2435913e-005	 3.0710681
0.15709769	 1.1870728e-005	 3.1408651
0.16057182	 1.1954346e-005	 3.210662
0.1640635	 1.2196045e-005	 3.280459
0.16755518	 1.2247314e-005	 3.3502559
0.17104685	 1.2212524e-005	 3.4200529
0.17453853	 1.1781616e-005	 3.4898498
0.17803021	 1.1641235e-005	 3.5596468
0.18152189	 1.2087402e-005	 3.6294437
0.18501356	 1.208252e-005	 3.6992413
0.18850524	 1.1932373e-005	 3.7690382
0.19197937	 1.1708984e-005	 3.8388352
0.19547105	 1.1314087e-005	 3.9086321
0.19896273	 1.1807861e-005	 3.9784291
0.2024544	 1.1792603e-005	 4.048226
0.20594608	 1.180542e-005	 4.118023
0.20943776	 1.1808472e-005	 4.1878199
0.21292944	 1.1317139e-005	 4.2576168
0.21642111	 1.1624756e-005	 4.3274138
0.21991279	 1.1738892e-005	 4.3972107
0.22340447	 1.1865234e-005	 4.4670083
0.2268786	 1.1777954e-005	 4.5368053
0.23037028	 1.1528931e-005	 4.6066022
0.23386195	 1.138855e-005	 4.6763991
0.23735363	 1.1960449e-005	 4.7461961
0.24084531	 1.206604e-005	 4.815993
0.24433699	 1.1967163e-005	 4.88579
0.24782866	 1.192688e-005	 4.9555869
0.25132034	 1.1596069e-005	 5.0253839
0.25481202	 1.2192993e-005	 5.0951808
0.25828615	 1.2091675e-005	 5.1649778
0.26177783	 1.2285156e-005	 5.2347747
0.2652695	 1.2315063e-005	 5.3045723
0.26876118	 1.1885986e-005	 5.3743692
0.27225286	 1.2091675e-005	 5.4441662
0.27574454	 1.2368164e-005	 5.5139631
0.27923621	 1.2454834e-005	 5.5837601
0.28272789	 1.2406616e-005	 5.653557
0.28621957	 1.2034912e-005	 5.723354
0.2896937	 1.1755371e-005	 5.7931509
0.29318538	 1.2246094e-005	 5.8629479
0.29667705	 1.2122803e-005	 5.9327448
0.30016873	 1.2017822e-005	 6.0025417
0.30366041	 1.1880493e-005	 6.0723387
0.30715209	 1.1386719e-005	 6.1421363
0.31064376	 1.1699219e-005	 6.2119332
0.31413544	 1.1607666e-005	 6.2817302
0.31762712	 1.1474609e-005	 6.3515271
0.32110125	 1.1156616e-005	 6.4213241
0.32459293	 1.0618286e-005	 6.491121
0.3280846	 1.0661011e-005	 6.5609179
0.33157628	 1.0678101e-005	 6.6307149
0.33506796	 1.0559692e-005	 6.7005118
0.33855963	 1.038208e-005	 6.7703088
0.34205131	 9.8693848e-006	 6.8401057
0.34554299	 9.644165e-006	 6.9099033
0.34903467	 9.9401855e-006	 6.9797002
0.35252634	 9.6734619e-006	 7.0494972
0.35600048	 9.3341064e-006	 7.1192941
0.35949215	 9.1723633e-006	 7.1890911
0.36298383	 8.75e-006	 7.258888
0.36647551	 8.9642334e-006	 7.328685
0.36996718	 8.8391113e-006	 7.3984819
0.37345886	 8.762207e-006	 7.4682789
0.37695054	 8.6584473e-006	 7.5380758
0.38044222	 8.2543945e-006	 7.6078728
0.38393389	 8.3154297e-006	 7.6776697
0.38740803	 8.2861328e-006	 7.7474673
0.3908997	 8.3081055e-006	 7.8172642
0.39439138	 8.2214355e-006	 7.8870612
0.39788306	 8.0023193e-006	 7.9568581
0.40137473	 7.9180908e-006	 8.0266551
0.40486641	 8.2769775e-006	 8.096452
0.40835809	 8.1396484e-006	 8.166249
0.41184977	 8.069458e-006	 8.2360459
0.41534144	 8.0566406e-006	 8.3058428
0.41881558	 7.7539063e-006	 8.3756398
0.42230725	 8.046875e-006	 8.4454367
0.42579893	 8.0670166e-006	 8.5152337
0.42929061	 8.1573486e-006	 8.5850313
0.43278228	 8.1842041e-006	 8.6548282
0.43627396	 7.958374e-006	 8.7246252
0.43976564	 8.0340576e-006	 8.7944221
0.44325732	 8.2537842e-006	 8.864219
0.44674899	 8.347168e-006	 8.934016
0.45022313	 8.2556152e-006	 9.0038129
0.4537148	 8.1616211e-006	 9.0736099
0.45720648	 8.1207275e-006	 9.1434068
0.46069816	 8.5614014e-006	 9.2132038
0.46418983	 8.5430908e-006	 9.2830007
0.46768151	 8.5717773e-006	 9.3527983
0.47117319	 8.6395264e-006	 9.4225952
0.47466487	 8.4112549e-006	 9.4923922
0.47815654	 8.6767578e-006	 9.5621891
0.48164822	 8.7841797e-006	 9.6319861
0.48512235	 8.8397217e-006	 9.701783
0.48861403	 8.9038086e-006	 9.77158
0.49210571	 8.7127686e-006	 9.8413769
0.49559738	 8.7835693e-006	 9.9111739
0.49908906	 9.1021729e-006	 9.9809708
0.50258074	 9.1430664e-006	 10.050768
0.50607242	 9.1485596e-006	 10.120565
0.50956409	 9.0917969e-006	 10.190362
0.51305577	 9.0026855e-006	 10.260159
0.5165299	 9.3414307e-006	 10.329956
0.52002158	 9.3414307e-006	 10.399753
0.52351326	 9.4604492e-006	 10.46955
0.52700493	 9.5172119e-006	 10.539347
0.53049661	 9.2889404e-006	 10.609144
0.53398829	 9.5269775e-006	 10.678941
0.53747997	 9.7039795e-006	 10.748738
0.54097164	 9.7924805e-006	 10.818535
0.54446332	 9.888916e-006	 10.888332
0.54793745	 9.642334e-006	 10.958129
0.55142913	 9.7058105e-006	 11.027926
0.55492081	 1.0142212e-005	 11.097723
0.55841248	 1.0170288e-005	 11.16752
0.56190416	 1.0187988e-005	 11.237317
0.56539584	 1.0246582e-005	 11.307114
0.56888752	 1.0098877e-005	 11.376911
0.57237919	 1.0487671e-005	 11.446708
0.57587087	 1.0545654e-005	 11.516505
0.579345	 1.0614014e-005	 11.586302
0.58283668	 1.0726318e-005	 11.656099
0.58632836	 1.0509033e-005	 11.725896
0.58982003	 1.0741577e-005	 11.795693
0.59331171	 1.1008911e-005	 11.86549
0.59680339	 1.1160278e-005	 11.935287
0.60029507	 1.1218872e-005	 12.005084
0.60378674	 1.1166992e-005	 12.074881
0.60727842	 1.1101074e-005	 12.144678
0.61075255	 1.1587524e-005	 12.214475
0.61424423	 1.1613159e-005	 12.284272
0.61773591	 1.168396e-005	 12.354069
0.62122758	 1.1813354e-005	 12.423866
0.62471926	 1.1643066e-005	 12.493663
0.62821094	 1.2028198e-005	 12.56346
0.63170262	 1.2197266e-005	 12.633257
0.63519429	 1.2405396e-005	 12.703054
0.63868597	 1.2518311e-005	 12.772851
0.64217765	 1.2360229e-005	 12.842648
0.64565178	 1.2507935e-005	 12.912445
0.64914346	 1.2926025e-005	 12.982242
0.65263513	 1.3132935e-005	 13.052039
0.65612681	 1.3222046e-005	 13.121836
0.65961849	 1.3300171e-005	 13.191633
0.66311017	 1.3278198e-005	 13.26143
0.66660184	 1.3873901e-005	 13.331227
0.67009352	 1.394043e-005	 13.401024
0.6735852	 1.4107666e-005	 13.470821
0.67705933	 1.4186401e-005	 13.540618
0.68055101	 1.4019165e-005	 13.610415
0.68404268	 1.4342041e-005	 13.680212
0.68753436	 1.4563599e-005	 13.750009
0.69102604	 1.475647e-005	 13.819806
0.69451772	 1.4814453e-005	 13.889603
0.69800939	 1.4597168e-005	 13.9594
0.70150107	 1.4580078e-005	 14.029197
0.70499275	 1.4974365e-005	 14.098994
0.70846688	 1.4928589e-005	 14.168791
0.71195856	 1.4911499e-005	 14.238588
0.71545023	 1.4838867e-005	 14.308385
0.71894191	 1.4696655e-005	 14.378182
0.72243359	 1.5093384e-005	 14.447979
0.72592527	 1.5073853e-005	 14.517776
0.72941694	 1.5140381e-005	 14.587573
0.73290862	 1.5146484e-005	 14.65737
0.7364003	 1.4849243e-005	 14.727167
0.73987443	 1.5029297e-005	 14.796964
0.74336611	 1.5148315e-005	 14.866761
0.74685778	 1.5316162e-005	 14.936558
0.75034946	 1.5324097e-005	 15.006355
0.75384114	 1.513855e-005	 15.076152
0.75733282	 1.5115967e-005	 15.145949
0.76082449	 1.5571289e-005	 15.215746
0.76431617	 1.5562134e-005	 15.285543
0.76780785	 1.5571289e-005	 15.35534
0.77129953	 1.5574951e-005	 15.425137
0.77477366	 1.5297852e-005	 15.494934
0.77826533	 1.5755005e-005	 15.564731
0.78175701	 1.5831299e-005	 15.634528
0.78524869	 1.5953979e-005	 15.704325
0.78874037	 1.6051636e-005	 15.774122
0.79223204	 1.581665e-005	 15.843919
0.79572372	 1.607666e-005	 15.913716
0.7992154	 1.6264038e-005	 15.983513
0.80270708	 1.6437378e-005	 16.05331
0.80618121	 1.6469116e-005	 16.123107
0.80967288	 1.6334229e-005	 16.192904
0.81316456	 1.6375122e-005	 16.262701
0.81665624	 1.6973877e-005	 16.332498
0.82014792	 1.7023926e-005	 16.402295
0.82363959	 1.7089844e-005	 16.472092
0.82713127	 1.7180786e-005	 16.541889
0.83062295	 1.6995239e-005	 16.611686
0.83411463	 1.7491455e-005	 16.681483
0.83758876	 1.7555542e-005	 16.75128
0.84108043	 1.7762451e-005	 16.821077
0.84457211	 1.7936401e-005	 16.890874
0.84806379	 1.7755127e-005	 16.960671
0.85155547	 1.8013916e-005	 17.030468
0.85504714	 1.8341064e-005	 17.100265
0.85853882	 1.8499756e-005	 17.170062
0.8620305	 1.8621826e-005	 17.239859
0.86552218	 1.8591309e-005	 17.309656
0.86899631	 1.8469238e-005	 17.379453
0.87248798	 1.9110107e-005	 17.44925
0.87597966	 1.9195557e-005	 17.519047
0.87947134	 1.9354248e-005	 17.588844
0.88296302	 1.9451904e-005	 17.658641
0.88645469	 1.9335938e-005	 17.728438
0.88994637	 1.9805908e-005	 17.798235
0.89343805	 2.0025635e-005	 17.868032
0.89692973	 2.0178223e-005	 17.937829
0.9004214	 2.0385742e-005	 18.007626
0.90389553	 2.010498e-005	 18.077423
0.90738721	 2.0446777e-005	 18.14722
0.91087889	 2.0739746e-005	 18.217017
0.91437057	 2.1014404e-005	 18.286814
0.91786224	 2.1154785e-005	 18.356611
0.92135392	 2.1087646e-005	 18.426408
0.9248456	 2.1105957e-005	 18.496205
0.92833728	 2.1710205e-005	 18.566002
0.93182895	 2.1728516e-005	 18.635799
0.93530308	 2.1765137e-005	 18.705596
0.93879476	 2.1948242e-005	 18.775393
0.94228644	 2.177124e-005	 18.84519
0.94577812	 2.220459e-005	 18.914987
0.94926979	 2.2381592e-005	 18.984784
0.95276147	 2.2637939e-005	 19.054581
0.95625315	 2.276001e-005	 19.124378
0.95974483	 2.2479248e-005	 19.194175
0.9632365	 2.2747803e-005	 19.263972
0.96671063	 2.2955322e-005	 19.333769
0.97020231	 2.3175049e-005	 19.403566
0.97369399	 2.3278809e-005	 19.473363
0.97718567	 2.3205566e-005	 19.54316
0.98067734	 2.3223877e-005	 19.612957
0.98416902	 2.3791504e-005	 19.682754
0.9876607	 2.37854e-005	 19.752551
0.99115238	 2.387085e-005	 19.822348
0.99464405	 2.3962402e-005	 19.892145
0.99811818	 2.3730469e-005	 19.961942
1.0016099	 2.4121094e-005	 20.031739
1.0051015	 2.4267578e-005	 20.101536
1.0085932	 2.4420166e-005	 20.171333
1.0120849	 2.456665e-005	 20.24113
1.0155766	 2.4371338e-005	 20.310927
1.0190682	 2.4536133e-005	 20.380724
1.0225599	 2.4859619e-005	 20.450521
1.0260516	 2.5e-005	 20.520318
1.0295433	 2.5073242e-005	 20.590115
1.0330174	 2.4908447e-005	 20.659912
1.0365091	 2.4926758e-005	 20.729709
1.0400008	 2.5500488e-005	 20.799506
1.0434924	 2.5482178e-005	 20.869303
1.0469841	 2.5585938e-005	 20.9391
1.0504758	 2.567749e-005	 21.008897
1.0539675	 2.5482178e-005	 21.078694
1.0574592	 2.5848389e-005	 21.148491
1.0609508	 2.5964355e-005	 21.218288
1.064425	 2.6080322e-005	 21.288085
1.0679166	 2.6208496e-005	 21.357882
1.0714083	 2.5976563e-005	 21.427679
1.0749	 2.6184082e-005	 21.497476
1.0783917	 2.6489258e-005	 21.567273
1.0818833	 2.6672363e-005	 21.63707
1.085375	 2.6739502e-005	 21.706867
1.0888667	 2.666626e-005	 21.776664
1.0923584	 2.6629639e-005	 21.846461
1.0958325	 2.7075195e-005	 21.916258
1.0993242	 2.7124023e-005	 21.986055
1.1028159	 2.7191162e-005	 22.055852
1.1063075	 2.7368164e-005	 22.125649
1.1097992	 2.7191162e-005	 22.195446
1.1132909	 2.7593994e-005	 22.265243
1.1167826	 2.7783203e-005	 22.33504
1.1202743	 2.7966309e-005	 22.404837
1.1237659	 2.8106689e-005	 22.474634
1.1272401	 2.7874756e-005	 22.544431
1.1307317	 2.8094482e-005	 22.614228
1.1342234	 2.84729e-005	 22.684025
1.1377151	 2.8668213e-005	 22.753822
1.1412068	 2.8820801e-005	 22.823619
1.1446984	 2.8869629e-005	 22.893416
1.1481901	 2.8839111e-005	 22.963213
1.1516818	 2.9443359e-005	 23.03301
1.1551735	 2.9522705e-005	 23.102807
1.1586476	 2.9638672e-005	 23.172604
1.1621393	 2.9858398e-005	 23.242401
1.165631	 2.9742432e-005	 23.312198
1.1691226	 3.0230713e-005	 23.381995
1.1726143	 3.0462646e-005	 23.451792
1.176106	 3.0786133e-005	 23.521589
1.1795977	 3.104248e-005	 23.591386
1.1830894	 3.0987549e-005	 23.661183
1.186581	 3.1262207e-005	 23.73098
1.1900727	 3.1744385e-005	 23.800777
1.1935468	 3.1964111e-005	 23.870574
1.1970385	 3.2183838e-005	 23.940371
1.1993371	 2.7154541e-005	 24.010168
1.1958454	 2.0581055e-005	 24.079965
1.1923537	 1.7364502e-005	 24.149762
1.188862	 1.4575195e-005	 24.219559
1.1853703	 1.2420654e-005	 24.289356
1.1818787	 1.0668945e-005	 24.359153
1.178387	 8.8684082e-006	 24.42895
1.1748953	 7.8503418e-006	 24.498747
1.1714036	 6.7858887e-006	 24.568544
1.1679295	 5.9893799e-006	 24.638341
1.1644378	 5.1123047e-006	 24.708138
1.1609462	 4.1265869e-006	 24.777935
1.1574545	 3.4649658e-006	 24.847732
1.1539628	 3.0810547e-006	 24.917529
1.1504711	 2.5439453e-006	 24.987326
1.1469794	 2.0172119e-006	 25.057123
1.1434878	 1.4642334e-006	 25.12692
1.1399961	 9.3811035e-007	 25.196717
1.1365044	 8.7469482e-007	 25.266514
1.1330303	 4.8431396e-007	 25.336311
1.1295386	 1.9763184e-007	 25.406108
1.1260469	 -1.350708e-007	 25.475905
1.1225552	 -6.7126465e-007	 25.545702
1.1190636	 -7.3266602e-007	 25.615499
1.1155719	 -9.6954346e-007	 25.685296
1.1120802	 -1.145752e-006	 25.755093
1.1085885	 -1.3547363e-006	 25.82489
1.1050969	 -1.8148193e-006	 25.894687
1.1016227	 -1.9104004e-006	 25.964484
1.0981311	 -1.8896484e-006	 26.034281
1.0946394	 -2.0812988e-006	 26.104078
1.0911477	 -2.2979736e-006	 26.173875
1.087656	 -2.5732422e-006	 26.243672
1.0841643	 -2.8985596e-006	 26.313469
1.0806727	 -2.7484131e-006	 26.383266
1.077181	 -2.9589844e-006	 26.453063
1.0736893	 -3.1243896e-006	 26.52286
1.0702152	 -3.190918e-006	 26.592657
1.0667235	 -3.6114502e-006	 26.662454
1.0632318	 -3.5614014e-006	 26.732251
1.0597401	 -3.7060547e-006	 26.802048
1.0562485	 -3.7738037e-006	 26.871845
1.0527568	 -3.9227295e-006	 26.941642
1.0492651	 -4.3060303e-006	 27.011439
1.0457734	 -4.4281006e-006	 27.081236
1.0422818	 -4.3041992e-006	 27.151033
1.0388076	 -4.4042969e-006	 27.22083
1.035316	 -4.5837402e-006	 27.290627
1.0318243	 -4.8303223e-006	 27.360424
1.0283326	 -5.1062012e-006	 27.430221
1.0248409	 -4.9615479e-006	 27.500018
1.0213492	 -5.1507568e-006	 27.569815
1.0178576	 -5.2844238e-006	 27.639612
1.0143659	 -5.4394531e-006	 27.709409
1.0108742	 -5.8068848e-006	 27.779206
1.0073825	 -5.7952881e-006	 27.849003
1.0039084	 -5.8209229e-006	 27.9188
1.0004167	 -5.9002686e-006	 27.988597
0.99692505	 -6.0980225e-006	 28.058394
0.99343337	 -6.4764404e-006	 28.128191
0.98994169	 -6.619873e-006	 28.197988
0.98645002	 -6.5179443e-006	 28.267785
0.98295834	 -6.6967773e-006	 28.337582
0.97946666	 -6.9067383e-006	 28.407379
0.97597498	 -7.1185303e-006	 28.477176
0.97250085	 -7.3468018e-006	 28.546973
0.96900918	 -7.2601318e-006	 28.61677
0.9655175	 -7.4884033e-006	 28.686567
0.96202582	 -7.6409912e-006	 28.756364
0.95853414	 -7.8192139e-006	 28.826161
0.95504247	 -8.2977295e-006	 28.895958
0.95155079	 -8.2946777e-006	 28.965755
0.94805911	 -8.4130859e-006	 29.035552
0.94456743	 -8.5437012e-006	 29.105349
0.9410933	 -8.6486816e-006	 29.175146
0.93760163	 -9.0698242e-006	 29.244943
0.93410995	 -9.2999268e-006	 29.31474
0.93061827	 -9.1943359e-006	 29.384537
0.92712659	 -9.4946289e-006	 29.454334
0.92363492	 -9.7454834e-006	 29.524131
0.92014324	 -9.9969482e-006	 29.593928
0.91665156	 -1.0383911e-005	 29.663725
0.91315988	 -1.0292969e-005	 29.733522
0.90968575	 -1.0483398e-005	 29.803319
0.90619408	 -1.0680542e-005	 29.873116
0.9027024	 -1.0913696e-005	 29.942913
0.89921072	 -1.1412964e-005	 30.01271
0.89571904	 -1.1484985e-005	 30.082507
0.89222737	 -1.1680908e-005	 30.152304
0.88873569	 -1.1809692e-005	 30.222101
0.88524401	 -1.2079468e-005	 30.291898
0.88175233	 -1.249939e-005	 30.361695
0.87826066	 -1.2783203e-005	 30.431492
0.87478653	 -1.2581787e-005	 30.501289
0.87129485	 -1.2930298e-005	 30.571086
0.86780317	 -1.322998e-005	 30.640883
0.86431149	 -1.3485718e-005	 30.71068
0.86081982	 -1.3902588e-005	 30.780477
0.85732814	 -1.3850708e-005	 30.850274
0.85383646	 -1.4077759e-005	 30.920071
0.85034478	 -1.427002e-005	 30.989868
0.84685311	 -1.4492188e-005	 31.059665
0.84337898	 -1.487915e-005	 31.129462
0.8398873	 -1.4957275e-005	 31.199259
0.83639562	 -1.5077515e-005	 31.269056
0.83290394	 -1.5184326e-005	 31.338853
0.82941227	 -1.541687e-005	 31.40865
0.82592059	 -1.5718384e-005	 31.478447
0.82242891	 -1.5951538e-005	 31.548244
0.81893723	 -1.569519e-005	 31.618041
0.81544556	 -1.5931396e-005	 31.687838
0.81197143	 -1.6029663e-005	 31.757635
0.80847975	 -1.6143188e-005	 31.827432
0.80498807	 -1.644043e-005	 31.897229
0.80149639	 -1.6244507e-005	 31.967026
0.79800472	 -1.6331787e-005	 32.036823
0.79451304	 -1.6333618e-005	 32.10662
0.79102136	 -1.6378784e-005	 32.176417
0.78752968	 -1.6672363e-005	 32.246214
0.78403801	 -1.6560059e-005	 32.316011
0.78056388	 -1.6367798e-005	 32.385808
0.7770722	 -1.6253662e-005	 32.455605
0.77358052	 -1.6256104e-005	 32.525402
0.77008884	 -1.6425171e-005	 32.595199
0.76659717	 -1.6459961e-005	 32.664996
0.76310549	 -1.6031494e-005	 32.734793
0.75961381	 -1.605835e-005	 32.80459
0.75612213	 -1.6032715e-005	 32.874387
0.75263046	 -1.5889282e-005	 32.944184
0.74913878	 -1.6068115e-005	 33.013981
0.74566465	 -1.5625e-005	 33.083778
0.74217297	 -1.5517578e-005	 33.153575
0.73868129	 -1.5362549e-005	 33.223372
0.73518962	 -1.5268555e-005	 33.293169
0.73169794	 -1.5438232e-005	 33.362966
0.72820626	 -1.520752e-005	 33.432763
0.72471458	 -1.4969482e-005	 33.50256
0.72122291	 -1.4780884e-005	 33.572357
0.71773123	 -1.4693604e-005	 33.642154
0.7142571	 -1.4672852e-005	 33.711951
0.71076542	 -1.4663086e-005	 33.781748
0.70727374	 -1.4168091e-005	 33.851545
0.70378207	 -1.4169922e-005	 33.921342
0.70029039	 -1.4147949e-005	 33.991139
0.69679871	 -1.4053955e-005	 34.060936
0.69330703	 -1.423584e-005	 34.130733
0.68981536	 -1.3814697e-005	 34.20053
0.68632368	 -1.3726807e-005	 34.270327
0.68284955	 -1.3547363e-005	 34.340124
0.67935787	 -1.3461304e-005	 34.409921
0.67586619	 -1.3706055e-005	 34.479718
0.67237452	 -1.3518677e-005	 34.549515
0.66888284	 -1.331543e-005	 34.619312
0.66539116	 -1.3220825e-005	 34.689109
0.66189948	 -1.3204956e-005	 34.758906
0.65840781	 -1.3311157e-005	 34.828703
0.65491613	 -1.3366699e-005	 34.8985
0.651442	 -1.2859497e-005	 34.968297
0.64795032	 -1.2909546e-005	 35.038094
0.64445864	 -1.2924194e-005	 35.107891
0.64096697	 -1.289917e-005	 35.177688
0.63747529	 -1.3167725e-005	 35.247485
0.63398361	 -1.2810059e-005	 35.317282
0.63049193	 -1.2779541e-005	 35.387079
0.62700026	 -1.2714233e-005	 35.456876
0.62350858	 -1.2675171e-005	 35.526673
0.62003445	 -1.2876587e-005	 35.59647
0.61654277	 -1.2728271e-005	 35.666267
0.61305109	 -1.2594604e-005	 35.736064
0.60955942	 -1.2519531e-005	 35.805861
0.60606774	 -1.2511597e-005	 35.875658
0.60257606	 -1.2727661e-005	 35.945455
0.59908438	 -1.2734985e-005	 36.015252
0.59559271	 -1.2345581e-005	 36.085049
0.59210103	 -1.2406616e-005	 36.154846
0.58860935	 -1.2426758e-005	 36.224643
0.58513522	 -1.2330933e-005	 36.29444
0.58164354	 -1.2550049e-005	 36.364237
0.57815187	 -1.2245483e-005	 36.434034
0.57466019	 -1.2249756e-005	 36.503831
0.57116851	 -1.2200928e-005	 36.573628
0.56767683	 -1.2172852e-005	 36.643425
0.56418516	 -1.2422485e-005	 36.713222
0.56069348	 -1.2229614e-005	 36.783019
0.5572018	 -1.2105713e-005	 36.852816
0.55372767	 -1.192688e-005	 36.922613
0.55023599	 -1.1933594e-005	 36.99241
0.54674432	 -1.2144775e-005	 37.062207
0.54325264	 -1.2163086e-005	 37.132004
0.53976096	 -1.1755981e-005	 37.201801
0.53626928	 -1.1842041e-005	 37.271598
0.53277761	 -1.1853638e-005	 37.341395
0.52928593	 -1.1859741e-005	 37.411192
0.52579425	 -1.2047729e-005	 37.480989
0.52232012	 -1.1622925e-005	 37.550786
0.51882844	 -1.1602783e-005	 37.620583
0.51533677	 -1.1588745e-005	 37.69038
0.51184509	 -1.1590576e-005	 37.760177
0.50835341	 -1.1867065e-005	 37.829974
0.50486173	 -1.168457e-005	 37.899771
0.50137006	 -1.1589966e-005	 37.969568
0.49787838	 -1.1505127e-005	 38.039365
0.4943867	 -1.1463013e-005	 38.109162
0.49091257	 -1.1630249e-005	 38.178959
0.48742089	 -1.1630859e-005	 38.248756
0.48392922	 -1.131958e-005	 38.318553
0.48043754	 -1.1334229e-005	 38.38835
0.47694586	 -1.1358643e-005	 38.458147
0.47345418	 -1.1447144e-005	 38.527944
0.46996251	 -1.1567383e-005	 38.597741
0.46647083	 -1.1236572e-005	 38.667538
0.46297915	 -1.1257935e-005	 38.737335
0.45948748	 -1.1220093e-005	 38.807132
0.45601334	 -1.1139526e-005	 38.876929
0.45252167	 -1.1392822e-005	 38.946726
0.44902999	 -1.1184082e-005	 39.016523
0.44553831	 -1.1124878e-005	 39.08632
0.44204663	 -1.1051025e-005	 39.156117
0.43855496	 -1.1039429e-005	 39.225914
0.43506328	 -1.1244507e-005	 39.295711
0.4315716	 -1.1209717e-005	 39.365508
0.42807993	 -1.0941162e-005	 39.435305
0.42460579	 -1.0883789e-005	 39.505102
0.42111412	 -1.092041e-005	 39.574899
0.41762244	 -1.1033936e-005	 39.644696
0.41413076	 -1.1187134e-005	 39.714493
0.41063908	 -1.0836182e-005	 39.78429
0.40714741	 -1.09375e-005	 39.854087
0.40365573	 -1.0932007e-005	 39.923884
0.40016405	 -1.0930786e-005	 39.993681
0.39667238	 -1.1236572e-005	 40.063478
0.39319824	 -1.0983887e-005	 40.133275
0.38970657	 -1.0997314e-005	 40.203072
0.38621489	 -1.098999e-005	 40.272869
0.38272321	 -1.1016235e-005	 40.342666
0.37923153	 -1.135498e-005	 40.412463
0.37573986	 -1.1412354e-005	 40.48226
0.37224818	 -1.1228027e-005	 40.552057
0.3687565	 -1.1304932e-005	 40.621854
0.36526483	 -1.1360474e-005	 40.691651
0.36179069	 -1.1477051e-005	 40.761448
0.35829902	 -1.1779175e-005	 40.831245
0.35480734	 -1.149353e-005	 40.901042
0.35131566	 -1.1690063e-005	 40.970839
0.34782398	 -1.1836548e-005	 41.040636
0.34433231	 -1.1966553e-005	 41.110433
0.34084063	 -1.2459106e-005	 41.18023
0.33734895	 -1.2352295e-005	 41.250027
0.33385728	 -1.2418823e-005	 41.319824
0.3303656	 -1.2527466e-005	 41.389621
0.32689147	 -1.2640381e-005	 41.459418
0.32339979	 -1.3162842e-005	 41.529215
0.31990811	 -1.336731e-005	 41.599012
0.31641643	 -1.3269653e-005	 41.668809
0.31292476	 -1.3476563e-005	 41.738606
0.30943308	 -1.3722534e-005	 41.808403
0.3059414	 -1.4106445e-005	 41.8782
