Potential (V)	 Current (A)	 Elapsed Time (s)
0.10005526	 -0.00024414063	 0
0.097756721	 -0.0003527832	 0.11500013
0.09545818	 -0.00035272217	 0.23000026
0.093159638	 -0.00035229492	 0.34499976
0.090861097	 -0.00035009766	 0.45999989
0.088545009	 -0.00034765625	 0.57500002
0.086246468	 -0.00034564209	 0.69000016
0.083947927	 -0.00034637451	 0.80500029
0.081649385	 -0.0003460083	 0.91999979
0.079350844	 -0.00034509277	 1.0349999
0.077052303	 -0.00034356689	 1.15
0.074753761	 -0.00034362793	 1.2650002
0.07245522	 -0.00034344482	 1.3800003
0.070156679	 -0.0003416748	 1.4949998
0.067858137	 -0.0003416748	 1.6099999
0.065559596	 -0.00034130859	 1.7250001
0.063261054	 -0.00034094238	 1.8400002
0.060962513	 -0.00033984375	 1.9549997
0.058663972	 -0.00033966064	 2.0699998
0.05636543	 -0.00033929443	 2.185
0.054049343	 -0.00033953857	 2.3000001
0.051750802	 -0.00033911133	 2.4150002
0.050662942	 -0.00033276367	 2.5299997
0.05297903	 -0.00032867432	 2.6449999
0.055277571	 -0.0003269043	 2.76
0.057576112	 -0.00032537842	 2.8750001
0.059874654	 -0.00032458496	 2.9900003
0.062173195	 -0.00032617188	 3.1049998
0.064471737	 -0.00032629395	 3.2199999
0.066770278	 -0.00032623291	 3.335
0.069068819	 -0.00032598877	 3.4500001
0.071367361	 -0.00032458496	 3.5650003
0.073665902	 -0.00032568359	 3.6799998
0.075964443	 -0.00032727051	 3.7949999
0.078262985	 -0.00032702637	 3.91
0.080561526	 -0.00032659912	 4.0250002
0.082860067	 -0.00032537842	 4.1400003
0.085158609	 -0.00032537842	 4.2549998
0.087474696	 -0.0003258667	 4.3699999
0.089773238	 -0.00032611084	 4.4850001
0.092071779	 -0.00032513428	 4.6000002
0.09437032	 -0.00032415771	 4.7149997
0.096668862	 -0.00032495117	 4.8299998
0.098967403	 -0.00032562256	 4.945
0.10126594	 -0.00032763672	 5.0600001
0.10356449	 -0.0003291626	 5.1750002
0.10586303	 -0.00032873535	 5.2899997
0.10816157	 -0.00032788086	 5.4049999
0.11046011	 -0.00032873535	 5.52
0.11275865	 -0.00032873535	 5.6350001
0.11505719	 -0.000328125	 5.7500002
0.11735573	 -0.00032611084	 5.8649997
0.11967182	 -0.0003236084	 5.9799999
0.12197036	 -0.00032489014	 6.095
0.1242689	 -0.00032714844	 6.2100001
0.12656745	 -0.00032836914	 6.3250003
0.12886599	 -0.00032775879	 6.4399998
0.13116453	 -0.00032855225	 6.5549999
0.13346307	 -0.00032958984	 6.67
0.13576161	 -0.00032836914	 6.7850002
0.13806015	 -0.00033093262	 6.9000003
0.14035869	 -0.00033050537	 7.0149998
0.14265724	 -0.00033062744	 7.1299999
0.14495578	 -0.00033129883	 7.2450001
0.14725432	 -0.00033111572	 7.3600002
0.14955286	 -0.00033105469	 7.4749997
0.15186895	 -0.00032989502	 7.5899998
0.15416749	 -0.00032806396	 7.7049999
0.15646603	 -0.0003293457	 7.8200001
0.15876457	 -0.00032897949	 7.9350002
0.16106311	 -0.00032751465	 8.0499997
0.16336165	 -0.00032769775	 8.1649998
0.1656602	 -0.00032843018	 8.28
0.16795874	 -0.00032928467	 8.3950001
0.17025728	 -0.0003293457	 8.5100002
0.17255582	 -0.00032995605	 8.6249997
0.17485436	 -0.00033044434	 8.7399999
0.1771529	 -0.00032867432	 8.855
0.17945144	 -0.00033062744	 8.9700001
0.18174998	 -0.00033288574	 9.0850003
0.18404853	 -0.00033355713	 9.1999998
0.18636461	 -0.00032617188	 9.3149999
